#photocurrent
#stopping potential [volt]	voltage across 100M shunt resistor [volt]	(without filter, with filter)
-1.6	0	0
-1.5	1e-3	0
-1.4	3e-3	1e-3
-1.3	4e-3	3e-3
-1.2	9e-3	6e-3
-1.1	16e-3	1e-2
-1.0	26e-3	16e-3
-0.9	37e-3	23e-3
-0.8	49e-3	32e-3
-0.7	66e-3	42e-3
-0.6	86e-3	54e-3
-0.5	.108	69e-3
-0.4	.133	87e-3
-0.3	.162	.11
-0.2	.188	.128
-0.1	.223	.151
0	.257	.175
.5	.449	.314
1	.664	.474
1.5	.896	.691
2	1.134	.83
2.5	1.385	1.01
3	1.629	1.17
4	2.098	1.49
5	2.536	1.8
6	2.990	2.08
7	3.425	2.29
7.9	3.75	2.43
