#NiCr-Ni Thermospannungen (Typ K)
#Quelle: http://www-ekp.physik.uni-karlsruhe.de/~simonis/praktikum/p2/NiCr-NiAl-Tabelle.htm
#(Aufruf 12.04.17)
#T in C	U in mV	
-200	-5,891
-199	-5,876
-198	-5,861
-197	-5,845
-196	-5,829
-195	-5,813
-194	-5,797
-193	-5,780
-192	-5,763
-191	-5,747
-190	-5,730
-189	-5,713
-188	-5,695
-187	-5,678
-186	-5,660
-185	-5,642
-184	-5,624
-183	-5,606
-182	-5,588
-181	-5,569
-180	-5,550
-179	-5,531
-178	-5,512
-177	-5,493
-176	-5,474
-175	-5,454
-174	-5,435
-173	-5,415
-172	-5,395
-171	-5,374
-170	-5,354
-169	-5,333
-168	-5,313
-167	-5,292
-166	-5,271
-165	-5,250
-164	-5,228
-163	-5,207
-162	-5,185
-161	-5,163
-160	-5,141
-159	-5,119
-158	-5,097
-157	-5,074
-156	-5,052
-155	-5,029
-154	-5,006
-153	-4,983
-152	-4,960
-151	-4,936
-150	-4,913
-149	-4,889
-148	-4,865
-147	-4,841
-146	-4,817
-145	-4,793
-144	-4,768
-143	-4,744
-142	-4,719
-141	-4,694
-140	-4,669
-139	-4,644
-138	-4,618
-137	-4,593
-136	-4,567
-135	-4,542
-134	-4,516
-133	-4,490
-132	-4,463
-131	-4,437
-130	-4,411
-129	-4,384
-128	-4,357
-127	-4,330
-126	-4,303
-125	-4,276
-124	-4,249
-123	-4,221
-122	-4,194
-121	-4,166
-120	-4,138
-119	-4,110
-118	-4,082
-117	-4,054
-116	-4,025
-115	-3,997
-114	-3,968
-113	-3,939
-112	-3,911
-111	-3,882
-110	-3,852
-109	-3,823
-108	-3,794
-107	-3,764
-106	-3,734
-105	-3,705
-104	-3,675
-103	-3,645
-102	-3,614
-101	-3,584
-100	-3,554
-99	-3,523
-98	-3,492
-97	-3,462
-96	-3,431
-95	-3,400
-94	-3,368
-93	-3,337
-92	-3,306
-91	-3,274
-90	-3,243
-89	-3,211
-88	-3,179
-87	-3,147
-86	-3,115
-85	-3,083
-84	-3,051
-83	-3,018
-82	-2,986
-81	-2,953
-80	-2,920
-79	-2,887
-78	-2,854
-77	-2,821
-76	-2,788
-75	-2,755
-74	-2,721
-73	-2,688
-72	-2,654
-71	-2,620
-70	-2,587
-69	-2,553
-68	-2,519
-67	-2,485
-66	-2,450
-65	-2,416
-64	-2,382
-63	-2,347
-62	-2,312
-61	-2,278
-60	-2,243
-59	-2,208
-58	-2,173
-57	-2,138
-56	-2,103
-55	-2,067
-54	-2,032
-53	-1,996
-52	-1,961
-51	-1,925
-50	-1,889
-49	-1,854
-48	-1,818
-47	-1,782
-46	-1,745
-45	-1,709
-44	-1,673
-43	-1,637
-42	-1,600
-41	-1,564
-40	-1,527
-39	-1,490
-38	-1,453
-37	-1,417
-36	-1,380
-35	-1,343
-34	-1,305
-33	-1,268
-32	-1,231
-31	-1,194
-30	-1,156
-29	-1,119
-28	-1,081
-27	-1,043
-26	-1,006
-25	-0,968
-24	-0,930
-23	-0,892
-22	-0,854
-21	-0,816
-20	-0,778
-19	-0,739
-18	-0,701
-17	-0,663
-16	-0,624
-15	-0,586
-14	-0,547
-13	-0,508
-12	-0,470
-11	-0,431
-10	-0,392
-9	-0,353
-8	-0,314
-7	-0,275
-6	-0,236
-5	-0,197
-4	-0,157
-3	-0,118
-2	-0,079
-1	-0,039
0	0,000
1	0,039
2	0,079
3	0,119
4	0,158
5	0,198
6	0,238
7	0,277
8	0,317
9	0,357
10	0,397
11	0,437
12	0,477
13	0,517
14	0,557
15	0,597
16	0,637
17	0,677
18	0,718
19	0,758
20	0,798
21	0,838
22	0,879
23	0,919
24	0,960
25	1,000
26	1,041
27	1,081
28	1,122
29	1,163
30	1,203
31	1,244
32	1,285
33	1,326
34	1,366
35	1,407
36	1,448
37	1,489
38	1,530
39	1,571
40	1,612
